x,y,t,d,dt,v,a
105,124,0,0,0,0,0
111,117,3.928,9.2195444573,3.928,2.347134536,2.347134536
110,113,4.185,4.1231056256,0.257,16.043212551,13.6960780151
106,111,4.754,4.472135955,0.569,7.8596413972,8.1835711539
102,111,5.226,4,0.472,8.4745762712,0.614934874
98,115,5.534,5.6568542495,0.308,18.3664099009,9.8918336298
94,118,5.971,5,0.437,11.4416475973,6.9247623037
90,121,6.163,5,0.192,26.0416666667,14.6000190694
89,125,6.363,4.1231056256,0.2,20.6155281281,5.4261385386
88,129,6.556,4.1231056256,0.193,21.3632415835,0.7477134554
88,133,6.796,4,0.24,16.6666666667,4.6965749168
89,137,7.262,4.1231056256,0.466,8.8478661494,7.8188005173
92,141,7.518,5,0.256,19.53125,10.6833838506
96,144,7.695,5,0.177,28.2485875706,8.7173375706
100,147,8.04,5,0.345,14.4927536232,13.7558339474
104,147,8.441,4,0.401,9.9750623441,4.517691279
108,147,8.577,4,0.136,29.4117647059,19.4367023617
112,147,8.778,4,0.201,19.9004975124,9.5112671934
116,147,9.074,4,0.296,13.5135135135,6.3869839989
120,146,9.527,4.1231056256,0.453,9.101778423,4.4117350905
124,143,9.75,5,0.223,22.4215246637,13.3197462407
128,141,9.878,4.472135955,0.128,34.9385621484,12.5170374848
132,138,9.99,5,0.112,44.6428571429,9.7042949944
136,134,10.224,5.6568542495,0.234,24.1745908098,20.4682663331
139,130,10.465,5,0.241,20.7468879668,3.427702843
141,125,10.634,5.3851648071,0.169,31.8648805156,11.1179925488
144,121,10.745,5,0.111,45.045045045,13.1801645295
145,116,10.867,5.0990195136,0.122,41.7952419147,3.2498031304
144,111,10.946,5.0990195136,0.079,64.544550805,22.7493088903
143,107,11.059,4.1231056256,0.113,36.4876604037,28.0568904013
142,104,11.147,3.1622776602,0.088,35.934973411,0.5526869927
140,100,11.323,4.472135955,0.176,25.4098633807,10.5251100303
137,96,11.476,5,0.153,32.6797385621,7.2698751814
133,94,11.595,4.472135955,0.119,37.5809744118,4.9012358497
129,91,11.71,5,0.115,43.4782608696,5.8972864578
125,88,11.803,5,0.093,53.7634408602,10.2851799907
122,86,11.868,3.6055512755,0.065,55.4700196225,1.7065787623
118,84,12.077,4.472135955,0.209,21.397779689,34.0722399335
113,82,12.206,5.3851648071,0.129,41.7454636212,20.3476839322
109,82,12.324,4,0.118,33.8983050847,7.8471585365
105,82,12.512,4,0.188,21.2765957447,12.6217093401
101,81,12.608,4.1231056256,0.096,42.9490169335,21.6724211888
97,81,12.695,4,0.087,45.9770114943,3.0279945607
93,81,12.852,4,0.157,25.4777070064,20.4993044879
89,83,12.977,4.472135955,0.125,35.77708764,10.2993806336
84,84,13.073,5.0990195136,0.096,53.1147865999,17.3376989599
80,84,13.21,4,0.137,29.197080292,23.917706308
76,85,13.291,4.1231056256,0.081,50.9025385879,21.7054582959
72,87,13.444,4.472135955,0.153,29.2296467647,21.6728918232
68,91,13.589,5.6568542495,0.145,39.0127879275,9.7831411628
65,94,13.716,4.2426406871,0.127,33.4066195836,5.6061683439
63,97,13.772,3.6055512755,0.056,64.3848442047,30.9782246211
60,100,13.908,4.2426406871,0.136,31.1958874053,33.1889567994
56,103,14.061,5,0.153,32.6797385621,1.4838511568
54,108,14.229,5.3851648071,0.168,32.0545524234,0.6251861387
52,112,14.405,4.472135955,0.176,25.4098633807,6.6446890427
51,116,14.485,4.1231056256,0.08,51.5388203202,26.1289569395
50,121,14.64,5.0990195136,0.155,32.8969000877,18.6419202325
50,125,14.749,4,0.109,36.6972477064,3.8003476187
51,129,14.837,4.1231056256,0.088,46.8534730184,10.156225312
51,132,14.885,3,0.048,62.5,15.6465269816
51,136,15.109,4,0.224,17.8571428571,44.6428571429
51,141,15.189,5,0.08,62.5,44.6428571429
51,145,15.389,4,0.2,20,42.5
54,150,15.541,5.8309518948,0.152,38.361525624,18.361525624
56,154,15.772,4.472135955,0.231,19.3598959091,19.0016297149
59,158,15.909,5,0.137,36.496350365,17.1364544559
61,161,15.997,3.6055512755,0.088,40.9721735848,4.4758232199
64,165,16.093,5,0.096,52.0833333333,11.1111597485
67,169,16.228,5,0.135,37.037037037,15.0462962963
70,171,16.285,3.6055512755,0.057,63.2552855345,26.2182484974
74,173,16.605,4.472135955,0.32,13.9754248594,49.2798606751
76,176,16.726,3.6055512755,0.121,29.7979444253,15.8225195659
80,178,16.997,4.472135955,0.271,16.5023466974,13.2955977279
84,179,17.617,4.1231056256,0.62,6.6501703639,9.8521763335
88,178,17.778,4.1231056256,0.161,25.6093517119,18.959181348
92,179,17.893,4.1231056256,0.115,35.8530923967,10.2437406848
96,179,18.987,4,1.094,3.6563071298,32.1967852669
85,182,20.584,11.401754251,1.597,7.1394829374,3.4831758076
89,183,20.728,4.1231056256,0.144,28.6326779557,21.4931950183
92,184,20.776,3.1622776602,0.048,65.8807845868,37.2481066312
96,185,20.864,4.1231056256,0.088,46.8534730184,19.0273115685
100,186,20.955,4.1231056256,0.091,45.3088530288,1.5446199896
104,186,21.04,4,0.085,47.0588235294,1.7499705006
109,186,21.168,5,0.128,39.0625,7.9963235294
113,186,21.353,4,0.185,21.6216216216,17.4408783784
117,184,21.492,4.472135955,0.139,32.173639964,10.5520183424
121,181,21.562,5,0.07,71.4285714286,39.2549314645
125,180,21.684,4.1231056256,0.122,33.795947751,37.6326236776
129,178,21.794,4.472135955,0.11,40.6557814091,6.8598336581
133,178,21.857,4,0.063,63.4920634921,22.836282083
137,177,21.938,4.1231056256,0.081,50.9025385879,12.5895249042
141,175,22.026,4.472135955,0.088,50.8197267614,0.0828118265
145,173,22.394,4.472135955,0.368,12.152543356,38.6671834054
148,172,22.442,3.1622776602,0.048,65.8807845868,53.7282412309
152,170,22.501,4.472135955,0.059,75.7989144915,9.9181299047
157,167,22.612,5.8309518948,0.111,52.5310981518,23.2678163398
161,165,22.658,4.472135955,0.046,97.2203468478,44.6892486961
165,162,22.801,5,0.143,34.965034965,62.2553118828
169,159,22.882,5,0.081,61.7283950617,26.7633600967
173,155,22.938,5.6568542495,0.056,101.0152544552,39.2868593935
177,152,23.026,5,0.088,56.8181818182,44.197072637
181,148,23.21,5.6568542495,0.184,30.7437730951,26.0744087231
183,144,23.334,4.472135955,0.124,36.0656125403,5.3218394453
185,139,23.402,5.3851648071,0.068,79.1936001049,43.1279875646
187,135,23.499,4.472135955,0.097,46.1044943814,33.0891057235
189,131,23.594,4.472135955,0.095,47.0751153158,0.9706209343
189,128,23.646,3,0.052,57.6923076923,10.6171923765
191,122,23.77,6.3245553203,0.124,51.0044783898,6.6878293025
191,119,23.787,3,0.017,176.4705882353,125.4661098455
192,115,23.868,4.1231056256,0.081,50.9025385879,125.5680496474
192,111,24.075,4,0.207,19.3236714976,31.5788670903
191,106,24.212,5.0990195136,0.137,37.2191205372,17.8954490396
189,102,24.284,4.472135955,0.072,62.112999375,24.8938788378
188,99,24.308,3.1622776602,0.024,131.7615691737,69.6485697987
186,95,24.396,4.472135955,0.088,50.8197267614,80.9418424123
184,91,24.54,4.472135955,0.144,31.0564996875,19.7632270739
182,87,24.661,4.472135955,0.121,36.959801281,5.9033015935
179,83,24.782,5,0.121,41.3223140496,4.3625127686
176,79,25.037,5,0.255,19.6078431373,21.7144709123
172,75,25.125,5.6568542495,0.088,64.2824346533,44.6745915161
169,74,25.165,3.1622776602,0.04,79.0569415042,14.7745068509
165,71,25.229,5,0.064,78.125,0.9319415042
161,68,25.293,5,0.064,78.125,0
157,65,25.409,5,0.116,43.1034482759,35.0215517241
154,61,25.5,5,0.091,54.9450549451,11.8416066692
150,58,25.605,5,0.105,47.619047619,7.326007326
149,61,26.71,3.1622776602,1.105,2.8617897377,44.7572578813
145,58,27.19,5,0.48,10.4166666667,7.554876929
141,56,27.286,4.472135955,0.096,46.5847495312,36.1680828646
137,54,27.382,4.472135955,0.096,46.5847495312,0
132,53,27.445,5.0990195136,0.063,80.9368176761,34.3520681448
128,51,27.517,4.472135955,0.072,62.112999375,18.8238183011
124,49,27.654,4.472135955,0.137,32.6433281387,29.4696712363
120,46,27.887,5,0.233,21.4592274678,11.1841006709
115,45,27.953,5.0990195136,0.066,77.2578714181,55.7986439503
111,44,28.007,4.1231056256,0.054,76.3538078818,0.9040635363
107,42,28.095,4.472135955,0.088,50.8197267614,25.5340811204
103,41,28.302,4.1231056256,0.207,19.9183846648,30.9013420965
98,42,28.409,5.0990195136,0.107,47.6543879775,27.7360033127
94,40,28.472,4.472135955,0.063,70.986285,23.3318970225
90,41,28.522,4.1231056256,0.05,82.4621125124,11.4758275124
86,41,28.618,4,0.096,41.6666666667,40.7954458457
82,43,28.701,4.472135955,0.083,53.8811560843,12.2144894177
78,43,28.795,4,0.094,42.5531914894,11.327964595
74,44,28.931,4.1231056256,0.136,30.3169531295,12.2362383598
69,47,29.124,5.8309518948,0.193,30.2121859837,0.1047671459
65,49,29.221,4.472135955,0.097,46.1044943814,15.8923083978
61,52,29.352,5,0.131,38.1679389313,7.9365554501
57,54,29.444,4.472135955,0.092,48.6101734239,10.4422344926
53,56,29.469,4.472135955,0.025,178.8854382,130.2752647761
49,58,29.629,4.472135955,0.16,27.9508497187,150.9345884812
45,61,29.765,5,0.136,36.7647058824,8.8138561636
41,64,29.901,5,0.136,36.7647058824,0
38,66,29.981,3.6055512755,0.08,45.0693909433,8.3046850609
44,73,30.029,9.2195444573,0.048,192.0738428603,147.004451917
58,84,30.038,17.8044938148,0.009,1978.2770905294,1786.2032476691
63,86,30.052,5.3851648071,0.014,384.6546290811,1593.6224614483
88,103,30.063,30.2324329157,0.011,2748.4029923331,2363.7483632521
91,106,30.077,4.2426406871,0.014,303.0457633656,2445.3572289675
94,109,30.133,4.2426406871,0.056,75.7614408414,227.2843225242
100,113,30.141,7.2111025509,0.008,901.3878188661,825.6263780247
108,117,30.155,8.94427191,0.014,638.8765649998,262.5112538663
112,120,30.166,5,0.011,454.5454545455,184.3311104543
116,123,30.175,5,0.009,555.5555555555,101.01010101
121,128,30.229,7.0710678119,0.054,130.9457002197,424.6098553358
124,130,30.245,3.6055512755,0.016,225.3469547165,94.4012544967
126,133,30.31,3.6055512755,0.065,55.4700196225,169.876935094
129,137,30.438,5,0.128,39.0625,16.4075196225
128,140,30.887,3.1622776602,0.449,7.0429346552,32.0195653448
124,141,30.991,4.1231056256,0.104,39.6452464002,32.602311745
120,141,31.088,4,0.097,41.2371134021,1.5918670019
116,141,31.207,4,0.119,33.6134453782,7.6236680239
112,140,31.29,4.1231056256,0.083,49.675971393,16.0625260148
108,139,31.311,4.1231056256,0.021,196.3383631246,146.6623917317
103,137,31.32,5.3851648071,0.009,598.3516452371,402.0132821125
100,136,31.329,3.1622776602,0.009,351.3641844631,246.987460774
103,139,31.367,4.2426406871,0.038,111.6484391347,239.7157453284
108,140,31.4,5.0990195136,0.033,154.5157428362,42.8673037014
115,141,31.423,7.0710678119,0.023,307.4377309507,152.9219881145
111,141,31.504,4,0.081,49.3827160494,258.0550149013
114,141,31.544,3,0.04,75,25.6172839506
108,139,31.703,6.3245553203,0.159,39.7770774864,35.2229225136
112,143,31.752,5.6568542495,0.049,115.4460050917,75.6689276053
108,143,31.768,4,0.016,250,134.5539949083
105,142,31.777,3.1622776602,0.009,351.3641844631,101.3641844632
100,141,31.786,5.0990195136,0.009,566.5577237325,215.1935392694
95,140,31.795,5.0990195136,0.009,566.5577237325,0
91,140,31.848,4,0.053,75.4716981132,491.0860256193
85,139,31.864,6.0827625303,0.016,380.1726581436,304.7009600304
72,136,31.872,13.3416640641,0.008,1667.708008016,1287.5353498724
58,132,31.888,14.5602197786,0.016,910.01373616,757.694271856
71,150,31.904,22.2036033112,0.016,1387.7252069486,477.7114707886
84,163,31.913,18.3847763109,0.009,2042.7529234277,655.0277164792
78,165,31.927,6.3245553203,0.014,451.7539514526,1590.9989719751
68,162,31.96,10.4403065089,0.033,316.3729245124,135.3810269402
57,155,31.969,13.0384048104,0.009,1448.7116456005,1132.3387210881
20,125,31.978,47.6340214553,0.009,5292.6690505841,3843.9574049835
20,128,32.344,3,0.366,8.1967213115,5284.4723292726
21,131,32.376,3.1622776602,0.032,98.8211768803,90.6244555688
22,135,32.56,4.1231056256,0.184,22.4081827479,76.4129941324
23,138,32.624,3.1622776602,0.064,49.4105884401,27.0024056922
24,142,32.741,4.1231056256,0.117,35.2402190224,14.1703694178
25,148,32.871,6.0827625303,0.13,46.7904810023,11.5502619799
26,153,32.936,5.0990195136,0.065,78.4464540553,31.655973053
26,157,33.049,4,0.113,35.3982300885,43.0482239668
27,162,33.129,5.0990195136,0.08,63.7377439199,28.3395138314
29,167,33.225,5.3851648071,0.096,56.095466741,7.6422771789
30,172,33.337,5.0990195136,0.112,45.5269599428,10.5685067982
31,176,33.449,4.1231056256,0.112,36.8134430859,8.7135168569
32,181,33.585,5.0990195136,0.136,37.4927905411,0.6793474552
33,185,33.68,4.1231056256,0.095,43.4011118486,5.9083213075
34,188,33.705,3.1622776602,0.025,126.4911064067,83.0899945581
35,191,33.729,3.1622776602,0.024,131.7615691737,5.2704627669
40,196,34.021,7.0710678119,0.292,24.2159856571,107.5455835166
44,198,34.09,4.472135955,0.069,64.8135645652,40.5975789081
49,201,34.146,5.8309518948,0.056,104.1241409794,39.3105764142
53,204,34.201,5,0.055,90.9090909091,13.2150500703
57,206,34.363,4.472135955,0.162,27.6057775,63.3033134091
62,209,34.451,5.8309518948,0.088,66.2608169869,38.6550394869
66,211,34.482,4.472135955,0.031,144.2624501613,78.0016331744
69,213,34.507,3.6055512755,0.025,144.2220510186,0.0403991427
73,214,34.556,4.1231056256,0.049,84.1450127677,60.0770382509
77,216,34.716,4.472135955,0.16,27.9508497187,56.194163049
80,216,34.909,3,0.193,15.5440414508,12.406808268
85,210,35.342,7.8102496759,0.433,18.0375281199,2.4934866691
88,207,35.355,4.2426406871,0.013,326.3569759323,308.3194478124
97,201,35.367,10.8166538264,0.012,901.387818866,575.0308429337
83,212,36.728,17.8044938148,1.361,13.0819205105,888.3058983555
87,214,36.865,4.472135955,0.137,32.6433281387,19.5614076282
91,214,37.114,4,0.249,16.0642570281,16.5790711106
95,213,37.827,4.1231056256,0.713,5.7827568382,10.2815001899
100,214,37.899,5.0990195136,0.072,70.8197154666,65.0369586284
104,214,38.021,4,0.122,32.7868852459,38.0328302207
108,215,38.083,4.1231056256,0.062,66.501703639,33.7148183931
112,216,38.3,4.1231056256,0.217,19.000486754,47.501216885
116,214,39.093,4.472135955,0.793,5.6395157062,13.3609710478
120,216,39.196,4.472135955,0.103,43.4187956796,37.7792799734
123,216,39.485,3,0.289,10.3806228374,33.0381728422
127,214,39.59,4.472135955,0.105,42.591771,32.2111481626
131,212,39.717,4.472135955,0.127,35.213668937,7.378102063
135,211,39.772,4.1231056256,0.055,74.9655568294,39.7518878924
139,210,39.852,4.1231056256,0.08,51.5388203202,23.4267365092
143,208,39.989,4.472135955,0.137,32.6433281387,18.8954921815
140,207,40.38,3.1622776602,0.391,8.08766665,24.5556614886
137,207,40.405,3,0.025,120,111.91233335
140,207,40.509,3,0.104,28.8461538462,91.1538461539
145,206,40.556,5.0990195136,0.047,108.489776885,79.6436230388
149,206,40.614,4,0.058,68.9655172414,39.5242596436
154,205,40.679,5.0990195136,0.065,78.4464540553,9.4809368139
158,204,40.821,4.1231056256,0.142,29.03595511,49.4104989453
162,204,40.96,4,0.139,28.7769784173,0.2589766927
166,203,41.007,4.1231056256,0.047,87.7256516089,58.9486731916
171,202,41.088,5.0990195136,0.081,62.9508581925,24.7747934164
175,200,41.232,4.472135955,0.144,31.0564996875,31.894358505
180,197,41.288,5.8309518948,0.056,104.1241409794,73.0676412919
184,194,41.336,5,0.048,104.1666666667,0.0425256873
189,191,41.391,5.8309518948,0.055,106.017307179,1.8506405123
193,188,41.464,5,0.073,68.4931506849,37.5241564941
197,185,41.592,5,0.128,39.0625,29.4306506849
200,180,41.737,5.8309518948,0.145,40.2134613438,1.1509613438
204,176,41.792,5.6568542495,0.055,102.8518954453,62.6384341016
206,171,41.872,5.3851648071,0.08,67.3145600892,35.5373353561
209,164,41.962,7.6157731059,0.09,84.6197011763,17.3051410871
210,161,41.976,3.1622776602,0.014,225.8769757264,141.2572745501
212,157,42.033,4.472135955,0.057,78.4585255263,147.4184502001
214,152,42.17,5.3851648071,0.137,39.3077723149,39.1507532115
214,148,42.274,4,0.104,38.4615384615,0.8462338533
215,144,42.378,4.1231056256,0.104,39.6452464002,1.1837079386
216,140,42.498,4.1231056256,0.12,34.3592135468,5.2860328534
217,137,42.546,3.1622776602,0.048,65.8807845868,31.52157104
218,134,42.578,3.1622776602,0.032,98.8211768803,32.9403922934
219,130,42.633,4.1231056256,0.055,74.9655568294,23.8556200508
220,126,42.698,4.1231056256,0.065,63.4323942403,11.5331625891
220,123,42.739,3,0.041,73.1707317073,9.738337467
220,119,42.818,4,0.079,50.6329113924,22.5378203149
221,114,42.931,5.0990195136,0.113,45.124066492,5.5088449004
222,108,43.119,6.0827625303,0.188,32.355119842,12.76894665
222,104,43.164,4,0.045,88.8888888889,56.5337690469
222,100,43.215,4,0.051,78.431372549,10.4575163399
222,95,43.285,5,0.07,71.4285714286,7.0028011204
222,91,43.453,4,0.168,23.8095238095,47.6190476191
218,86,43.837,6.4031242374,0.384,16.6748027016,7.1347211079
217,83,43.869,3.1622776602,0.032,98.8211768803,82.1463741786
215,78,43.925,5.3851648071,0.056,96.1636572703,2.65751961
213,74,44.136,4.472135955,0.211,21.1949571327,74.9687001376
210,67,44.258,7.6157731059,0.122,62.4243697202,41.2294125875
206,62,44.318,6.4031242374,0.06,106.7187372906,44.2943675704
204,57,44.374,5.3851648071,0.056,96.1636572703,10.5550800203
201,53,44.534,5,0.16,31.25,64.9136572703
198,50,44.598,4.2426406871,0.064,66.2912607362,35.0412607362
195,49,44.63,3.1622776602,0.032,98.8211768803,32.529916144
192,45,44.75,5,0.12,41.6666666667,57.1545102136
189,41,44.878,5,0.128,39.0625,2.6041666667
185,37,44.999,5.6568542495,0.121,46.7508615661,7.6883615661
181,32,45.079,6.4031242374,0.08,80.0390529679,33.2881914019
178,28,45.151,5,0.072,69.4444444444,10.5946085235
174,24,45.232,5.6568542495,0.081,69.8377067839,0.3932623394
171,23,45.264,3.1622776602,0.032,98.8211768803,28.9834700964
166,20,45.392,5.8309518948,0.128,45.5543116785,53.2668652018
162,17,45.412,5,0.02,250.0000000001,204.4456883216
